# Expression Atlas									
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 TPM in experiment E-GEOD-52564									
# Selected columns: 8 (all)									
# Timestamp: Fri, 08-Oct-2021 15:29:21									
Gene ID	Gene Name	astrocyte	endothelial cell	microglia	mixture	myelinating oligodendrocytes	neuron	newly formed oligodendrocytes	oligodendrocyte precursor cells
ENSMUSG00000000001	Gnai3	187	179	29	158	46	149	125	122
ENSMUSG00000000028	Cdc45	11	13	1	8	2	4	3	18
ENSMUSG00000000031	H19	10	7	0.6	15		3	0.5	2
ENSMUSG00000000037	Scml2	7	0.7		4		5	2	8
ENSMUSG00000000056	Narf	24	33	19	46	37	42	40	27
ENSMUSG00000000058	Cav2	45	169		51	1	17	24	101
ENSMUSG00000000078	Klf6	1580	1114	199	287	42	225	117	210
ENSMUSG00000000085	Scmh1	29	17	20	32	8	37	17	26
ENSMUSG00000000088	Cox5a	71	119	47	140	72	148	93	89
ENSMUSG00000000093	Tbx2	2	8	0.5	9	0.5	2	0.8	1
ENSMUSG00000000094	Tbx4		19		4				
ENSMUSG00000000120	Ngfr	0.8			3	1	11		2
ENSMUSG00000000125	Wnt3	4			4	34	3	25	2
ENSMUSG00000000126	Wnt9a	2	0.5	0.8	10	0.7	2		3
ENSMUSG00000000127	Fer	27	27	9	20	7	14	12	21
ENSMUSG00000000131	Xpo6	27	10	18	25	14	37	39	31
ENSMUSG00000000134	Tfe3	17	17	89	18	11	26	16	25
ENSMUSG00000000142	Axin2	94	21	0.8	25	3	26	28	38
ENSMUSG00000000148	Brat1	36	5	17	20	20	19	26	23
ENSMUSG00000000149	Gna12	206	93	408	137	904	97	501	220
ENSMUSG00000000154	Slc22a18	0.9	4	1			0.9		1
ENSMUSG00000000157	Itgb2l		0.5						
ENSMUSG00000000159	Igsf5		36		2				
ENSMUSG00000000167	Pih1d2	6	2		4	0.8	2	2	2
ENSMUSG00000000168	Dlat	44	22	6	45	18	78	36	40
ENSMUSG00000000171	Sdhd	254	323	191	250	210	317	292	303
ENSMUSG00000000182	Fgf23	2					1		
ENSMUSG00000000184	Ccnd2	234	13	2	125	1	52	3	27
ENSMUSG00000000194	Gpr107	44	17	31	23	23	28	31	26
ENSMUSG00000000197	Nalcn	1			19	9	61	28	46
ENSMUSG00000000202	Btbd17	295		6	42	12	24	44	31
ENSMUSG00000000214	Th		1		3		19		
ENSMUSG00000000223	Drp2	65		1	32	2	18	4	19
ENSMUSG00000000244	Tspan32			3					
ENSMUSG00000000247	Lhx2	138	0.8	1	58	4	93	6	45
ENSMUSG00000000253	Gmpr	17	84	75	25	3	10	7	38
ENSMUSG00000000266	Mid2	21	9		12	1	24	0.9	1
ENSMUSG00000000275	Trim25	11	116	17	23	1	4	10	25
ENSMUSG00000000276	Dgke	15	29	0.5	19	4	29	13	13
ENSMUSG00000000278	Scpep1	74	49	244	45	11	49	23	74
ENSMUSG00000000282	Mnt	48	20	81	43	13	65	32	32
ENSMUSG00000000290	Itgb2		4	672	15	5	2	2	35
ENSMUSG00000000295	Hddc2	20	25	5	17	5	11	12	18
ENSMUSG00000000296	Tpd52l1	27	235	0.9	32	2	24	10	35
ENSMUSG00000000301	Pemt	5	8	1	5	2	4	5	8
ENSMUSG00000000303	Cdh1				0.7				
ENSMUSG00000000305	Cdh4	24	1		31		209	4	27
ENSMUSG00000000308	Ckmt1	1	3	9	94	27	147	9	34
ENSMUSG00000000317	Bcl6b	4	209	4	26		4	1	10
ENSMUSG00000000318	Clec10a			73	2		2		4
ENSMUSG00000000320	Alox12		2	0.5	0.7				0.5
ENSMUSG00000000325	Arvcf	19	6	55	37	15	67	63	84
ENSMUSG00000000326	Comt	71	77	228	77	62	55	93	128
ENSMUSG00000000339	Rtca	46	40	12	52	35	89	57	51
ENSMUSG00000000340	Dbt	66	8	5	38	22	25	66	48
ENSMUSG00000000346	Dazap2	256	428	387	201	291	177	364	291
ENSMUSG00000000355	Mcts1	65	75	18	78	34	101	52	66
ENSMUSG00000000359	Rem1		4		2				1
ENSMUSG00000000374	Trappc10	63	17	76	49	50	73	84	58
ENSMUSG00000000378	Ccm2	26	39	52	29	28	47	26	36
ENSMUSG00000000384	Tbrg4	59	33	41	42	30	54	56	49
ENSMUSG00000000385	Tmprss2						2		
ENSMUSG00000000386	Mx1			0.5					
ENSMUSG00000000392	Fap		1		1		0.5		0.5
ENSMUSG00000000399	Ndufa9	91	137	78	142	93	150	157	174
ENSMUSG00000000402	Egfl6	27			6		7		4
ENSMUSG00000000409	Lck	1	0.8	5	6		7		1
ENSMUSG00000000411	Tssk3	0.7	1		1		3	1	0.8
ENSMUSG00000000416	Cttnbp2	64	11	2	41	3	34	20	69
ENSMUSG00000000420	Galnt1	99	82	42	60	18	44	48	92
ENSMUSG00000000439	Mkrn2	13	11	4	15	13	26	14	15
ENSMUSG00000000440	Pparg			0.7	0.7		0.6		
ENSMUSG00000000441	Raf1	56	36	20	42	22	52	51	63
ENSMUSG00000000486	Sept1	1	34	4	4	4	3	4	2
ENSMUSG00000000489	Pdgfb	3	117	473	41	2	67	0.8	18
ENSMUSG00000000530	Acvrl1	4	474	47	36	0.8	2		4
ENSMUSG00000000531	Grasp	18	119	34	24	4	23	17	13
ENSMUSG00000000532	Acvr1b	28	3	22	85	7	104	27	63
ENSMUSG00000000538	Tom1l2	84	39	17	60	54	102	51	50
ENSMUSG00000000552	Zfp385a	104	5	222	61	7	117	13	65
ENSMUSG00000000555	Itga5	66	137	154	30	0.6	4		6
ENSMUSG00000000560	Gabra2	35			43	1	66	2	14
ENSMUSG00000000561	Wdr77	31	6	6	28	7	54	16	27
ENSMUSG00000000562	Adora3			50	0.9				2
ENSMUSG00000000563	Atp5pb	93	138	38	134	105	181	154	136
ENSMUSG00000000567	Sox9	465	11	0.9	77	1	36	5	24
ENSMUSG00000000568	Hnrnpd	71	42	20	89	8	146	43	81
ENSMUSG00000000581	C1d	29	45	4	44	15	61	26	29
ENSMUSG00000000594	Gm2a	259	43	260	161	85	51	385	1038
ENSMUSG00000000600	Krit1	22	7	0.5	10	2	13	7	11
ENSMUSG00000000605	Clcn4	79	36	25	93	48	105	110	89
ENSMUSG00000000617	Grm6		0.9						
ENSMUSG00000000627	Sema4f	0.6		1	31	19	41	72	20
ENSMUSG00000000628	Hk2	27		234	10	3	2	7	31
ENSMUSG00000000631	Myo18a	80	23	45	46	91	26	70	29
ENSMUSG00000000632	Sez6	13	0.6	3	158	3	141	20	122
ENSMUSG00000000673	Haao			2					
ENSMUSG00000000682	Cd52		1	175	4	2	0.8	1	9
ENSMUSG00000000686	Abhd15	3	1	20	0.8				1
ENSMUSG00000000693	Loxl3	34	5	20	14	1	2	15	49
ENSMUSG00000000708	Kat2b	49	39	7	25	49	28	53	25
ENSMUSG00000000711	Rab5b	30	53	36	50	57	80	67	59
ENSMUSG00000000724	Cryba1						0.6		
ENSMUSG00000000731	Aire				0.5			1	0.5
ENSMUSG00000000732	Icosl	3	5	207	8	0.9	1	4	14
ENSMUSG00000000738	Spg7	66	34	28	69	44	55	52	75
ENSMUSG00000000739	Sult5a1	0.7					1		
ENSMUSG00000000740	Rpl13	116	350	377	250	165	182	239	562
ENSMUSG00000000743	Chmp1a	73	83	130	114	130	140	138	114
ENSMUSG00000000751	Rpa1	64	27	18	35	33	27	31	49
ENSMUSG00000000753	Serpinf1	42	23	285	52	6	12	3	44
ENSMUSG00000000759	Tubgcp3	40	30	7	24	12	28	25	30
ENSMUSG00000000766	Oprm1						1		
ENSMUSG00000000776	Polr3d	53	19	21	32	30	53	46	38
ENSMUSG00000000782	Tcf7	33	194	3	30		3	5	16
ENSMUSG00000000787	Ddx3x	520	476	101	350	69	402	251	348
ENSMUSG00000000791	Il12rb1			0.6		9	0.5	11	
ENSMUSG00000000792	Slc5a5	0.6	7	1	7	0.7	3	0.7	3
ENSMUSG00000000794	Kcnn3	125			21		9	2	9
ENSMUSG00000000804	Usp32	77	31	5	60	19	63	49	45
ENSMUSG00000000805	Car4	14	2044	9	106	2	12	0.9	8
ENSMUSG00000000811	Txnrd3	24	13	7	19	2	19	4	10
ENSMUSG00000000817	Fasl				0.7		2		
ENSMUSG00000000823	Zfp512b	120	18	10	80	11	134	44	67
ENSMUSG00000000826	Dnajc5	98	73	59	193	52	239	111	125
ENSMUSG00000000827	Tpd52l2	72	65	37	44	52	61	71	87
ENSMUSG00000000838	Fmr1	87	22	2	49	7	50	26	44
ENSMUSG00000000861	Bcl11a	1		0.5	23	0.7	89		2
ENSMUSG00000000869	Il4	19	2		26	5	39	16	30
ENSMUSG00000000876	Pxmp4	32	29	15	20	25	14	22	6
ENSMUSG00000000881	Dlg3	37	3	6	64	8	86	21	61
ENSMUSG00000000884	Gnb1l	4	5	4	4	2	6	2	5
ENSMUSG00000000889	Dbh		14		0.6				
ENSMUSG00000000901	Mmp11	5	3	1	8		12	0.7	3
ENSMUSG00000000902	Smarcb1	41	29	19	35	31	57	59	65
ENSMUSG00000000903	Vpreb3	0.9		3			1		
ENSMUSG00000000915	Hip1r	39	30	8	65	157	135	244	222
ENSMUSG00000000916	Nsun5	22	6	8	11	4	18	9	13
ENSMUSG00000000934	Top1mt	28	7	12	27	30	25	21	11
ENSMUSG00000000948	Gm38393	19	1		10	0.9	42	7	8
ENSMUSG00000000957	Mmp14	198	40	5	60	0.7	16	6	38
ENSMUSG00000000958	Slc7a7	6	29	248	9	1	1	1	10
ENSMUSG00000000959	Oxa1l	67	48	55	52	30	68	45	66
ENSMUSG00000000976	Heatr6	27	8	12	20	7	23	17	22
ENSMUSG00000000982	Ccl3	4	6	8725	420	9	9	7	318
ENSMUSG00000000983	Wfdc18				0.5	4		1	
ENSMUSG00000001016	Ilf2	39	27	9	45	28	71	64	56
ENSMUSG00000001017	Chtop	206	117	75	201	171	193	371	376
ENSMUSG00000001018	Snapin	100	39	35	61	144	81	160	86
ENSMUSG00000001020	S100a4	5		2	7	1		7	23
ENSMUSG00000001021	S100a3	0.7			2			6	15
ENSMUSG00000001023	S100a5				1				
ENSMUSG00000001025	S100a6	75	5	18	68	167	9	286	258
ENSMUSG00000001027	Scn4a		0.7						
ENSMUSG00000001029	Icam2	3	596	4	28		2		0.6
ENSMUSG00000001034	Mapk7	47	23	53	49	23	44	55	108
ENSMUSG00000001036	Epn2	110	107	16	155	161	92	403	1015
ENSMUSG00000001039	B9d1	30	30	3	57	10	29	45	172
ENSMUSG00000001052	Sec24b	62	36	17	43	12	59	31	43
ENSMUSG00000001053	N4bp3	7	403	14	34	1	20	2	6
ENSMUSG00000001054	Rmnd5b	145	203	56	78	36	83	67	77
ENSMUSG00000001056	Nhp2	51	113	342	105	52	66	118	103
ENSMUSG00000001062	Vps9d1	43	10	50	51	19	56	33	47
ENSMUSG00000001065	Zfp276	23	9	17	18	31	15	68	46
ENSMUSG00000001076	C1ql4								0.5
ENSMUSG00000001082	Mfsd10	37	36	42	39	7	61	14	25
ENSMUSG00000001089	Luzp1	46	82	7	29	3	27	11	21
ENSMUSG00000001098	Kctd10	71	134	27	39	14	35	27	27
ENSMUSG00000001100	Poldip2	78	43	49	75	60	76	80	101
ENSMUSG00000001103	Sebox				0.6				1
ENSMUSG00000001105	Ift20	66	93	26	88	88	111	104	91
ENSMUSG00000001119	Col6a1	3	0.9	1	28	0.6	40		35
ENSMUSG00000001120	Pcbp3	14	24	3	44	6	255	26	62
ENSMUSG00000001123	Lgals9	4	395	671	47	8	11	3	38
ENSMUSG00000001127	Araf	94	37	21	77	39	173	74	64
ENSMUSG00000001128	Cfp	54	3	64	23	3	31	20	25
ENSMUSG00000001131	Timp1	5	51	1	8	0.7	5		2
ENSMUSG00000001134	Uxt	12	18	5	9	8	7	13	13
ENSMUSG00000001138	Cnnm3	56	7	11	26	10	56	21	33
ENSMUSG00000001143	Lman2l	25	8	30	23	11	43	26	36
ENSMUSG00000001150	Mcm3ap	45	19	18	38	17	37	36	39
ENSMUSG00000001151	Pcnt	17	7	4	12	2	10	10	12
ENSMUSG00000001155	Ftcd						1		
ENSMUSG00000001156	Mxd1	44	25	17	13	13	24	35	20
ENSMUSG00000001157	Gmcl1	18	12	3	19	5	24	17	25
ENSMUSG00000001158	Snrnp27	44	58	26	48	49	61	63	61
ENSMUSG00000001166	Oas1c		11	0.8	1		1		
ENSMUSG00000001173	Ocrl	55	11	2	25	3	47	11	21
ENSMUSG00000001175	Calm1	219	903	148	1183	419	976	534	446
ENSMUSG00000001211	Agpat3	345	56	116	172	155	121	159	203
ENSMUSG00000001227	Sema6b	8	26	10	80	16	76	48	85
ENSMUSG00000001228	Uhrf1	28	15	8	27		6	7	54
ENSMUSG00000001229	Dpp9	31	24	18	25	16	29	28	33
ENSMUSG00000001240	Ramp2	29	408	4	48	3	12	16	46
ENSMUSG00000001247	Lsr	3	328	2	23	0.9	2		0.9
ENSMUSG00000001248	Gramd1a	204	108	496	171	44	202	134	180
ENSMUSG00000001249	Hpn		2	9	2		1		0.8
ENSMUSG00000001260	Gabrg1	113	0.5		27	0.9	12	7	33
ENSMUSG00000001270	Ckb	1876	28	776	660	808	535	833	1687
ENSMUSG00000001280	Sp1	51	49	16	33	8	36	31	44
ENSMUSG00000001281	Itgb7		0.9	8	3	12	0.8	41	2
ENSMUSG00000001285	Myg1	32	23	25	25	20	31	24	33
ENSMUSG00000001288	Rarg	18	23	3	11	0.5	7	6	25
ENSMUSG00000001289	Pfdn5	109	501	415	239	294	269	203	219
ENSMUSG00000001300	Efnb2	20	39	7	47		89	4	21
ENSMUSG00000001305	Rrp15	20	14	6	20	2	22	17	21
ENSMUSG00000001313	Rnd2	173	31	24	214	1096	263	2386	271
ENSMUSG00000001323	Srr	37	15	4	40	29	26	48	50
ENSMUSG00000001333	Sync	0.8			0.6		2	1	1
ENSMUSG00000001334	Fndc5	153	0.9	6	62	13	43	9	59
ENSMUSG00000001348	Acp5	0.5	37	50	2				
ENSMUSG00000001349	Cnn1	3			0.8				
ENSMUSG00000001366	Fbxo9	48	37	19	68	36	75	55	53
ENSMUSG00000001376	Vps50	28	11	4	22	6	18	17	19
ENSMUSG00000001380	Hars	63	68	30	110	71	187	111	123
ENSMUSG00000001383	Zmat2	68	81	54	140	102	115	93	118
ENSMUSG00000001403	Ube2c	10	17	2	23		7	3	35
ENSMUSG00000001415	Smg5	103	50	59	57	42	81	77	58
ENSMUSG00000001416	Cct3	82	106	67	103	79	103	149	162
ENSMUSG00000001418	Glmp	41	82	133	24	35	15	32	44
ENSMUSG00000001419	Mef2d	119	59	137	89	22	157	71	60
ENSMUSG00000001420	Tmem79	1	1		0.8	1	1	1	0.7
ENSMUSG00000001424	Snd1	41	52	50	40	35	43	55	53
ENSMUSG00000001435	Col18a1	3	94	0.7	29		5	5	58
ENSMUSG00000001436	Slc19a1	24	17	20	24	4	33	11	23
ENSMUSG00000001440	Kpnb1	141	123	76	143	90	132	184	147
ENSMUSG00000001441	Npepps	111	19	17	82	21	130	45	72
ENSMUSG00000001444	Tbx21	0.9		0.5	1		1		0.6
ENSMUSG00000001445	Mrpl10	51	48	36	55	72	50	60	69
ENSMUSG00000001467	Cyp51	558	46	20	184	554	181	578	158
ENSMUSG00000001472	Tcf25	495	152	170	276	182	506	242	253
ENSMUSG00000001473	Tubb6	23	239	433	43	12	9	7	27
ENSMUSG00000001482	Def8	48	23	15	47	34	65	51	78
ENSMUSG00000001493	Meox1	0.7	230	1	13		8	1	18
ENSMUSG00000001494	Sost			0.7					0.5
ENSMUSG00000001496	Nkx2-1				3		17		
ENSMUSG00000001497	Pax9	0.5							
ENSMUSG00000001504	Irx2				0.5		2		0.7
ENSMUSG00000001506	Col1a1	5	1	2	23	1	13		77
ENSMUSG00000001507	Itga3	4	19	0.5	13	0.7	37	8	15
ENSMUSG00000001508	Sgca	2	0.6						0.5
ENSMUSG00000001517	Foxm1	19	8	4	18	1	8	5	34
ENSMUSG00000001518	Itfg2	17	8	4	10	7	18	13	18
ENSMUSG00000001520	Nrip2	7	1	0.6	6	1	10	4	9
ENSMUSG00000001521	Tulp3	69	6	1	14	6	10	6	9
ENSMUSG00000001524	Gtf2h4	14	8	10	10	5	8	8	15
ENSMUSG00000001525	Tubb5	176	993	568	1475	190	1990	525	873
ENSMUSG00000001542	Ell2	8	9	4	6	25	4	32	8
ENSMUSG00000001552	Jup	13	90	138	31	52	31	16	15
ENSMUSG00000001555	Fkbp10	135	209	1	39	2	9	0.5	9
ENSMUSG00000001558	Klhl10	2			0.8		2	0.7	1
ENSMUSG00000001569	Nom1	15	9	3	12	3	12	8	12
ENSMUSG00000001576	Ergic1	41	17	42	53	8	66	28	65
ENSMUSG00000001583	Tnk1				0.5			0.5	0.6
ENSMUSG00000001588	Acap1		2	1	0.6		0.8		
ENSMUSG00000001604	Tcea3		9		1				
ENSMUSG00000001627	Ifrd1	258	210	166	79	18	59	37	56
ENSMUSG00000001630	Stk38l	72	8	10	18	3	11	7	11
ENSMUSG00000001632	Brpf1	39	29	26	24	6	41	20	30
ENSMUSG00000001642	Akr1b3	6	7	26	10	10	7	14	17
ENSMUSG00000001663	Gstt1	28	2		10		8	7	49
ENSMUSG00000001665	Gstt3	1	2	1	0.5				
ENSMUSG00000001666	Ddt	51	43	35	37	26	34	36	41
ENSMUSG00000001672	Marveld3								3
ENSMUSG00000001674	Ddx18	28	19	16	22	10	16	27	34
ENSMUSG00000001687	Ubl3	50	87	74	47	150	90	329	82
ENSMUSG00000001700	Gramd3	149	13	2	27	90	4	141	17
ENSMUSG00000001707	Eef1e1	16	15	10	28	15	39	30	26
ENSMUSG00000001729	Akt1	130	204	325	229	81	229	164	221
ENSMUSG00000001739	Cldn15		2		0.9		2	2	0.5
ENSMUSG00000001741	Il16			14	0.9				0.6
ENSMUSG00000001750	Tcirg1	66	17	622	30	40	9	34	49
ENSMUSG00000001751	Naglu	29	30	204	15	20	13	24	33
ENSMUSG00000001755	Coasy	46	25	43	39	90	42	78	47
ENSMUSG00000001761	Smo	79	23	21	28	2	9	6	22
ENSMUSG00000001763	Tspan33	11	0.8	73	9	1	17	5	4
ENSMUSG00000001767	Crnkl1	23	38	9	22	7	15	20	23
ENSMUSG00000001768	Rin2	30	15	66	18	6	4	33	56
ENSMUSG00000001773	Folh1	112			15	9	3	6	19
ENSMUSG00000001774	Chordc1	35	19	4	25	11	33	23	26
ENSMUSG00000001783	Rtcb	93	139	143	124	79	195	112	147
ENSMUSG00000001785	Pwp1	36	36	26	37	19	47	48	63
ENSMUSG00000001786	Fbxo7	16	14	13	32	9	31	45	41
ENSMUSG00000001794	Capns1	151	619	395	198	423	258	273	281
ENSMUSG00000001802	Lrp3	149	1	4	98	16	134	103	158
ENSMUSG00000001827	Folr1		0.7		1				
ENSMUSG00000001829	Clpb	17	15	10	21	16	18	22	26
ENSMUSG00000001833	Sept7	122	89	6	115	128	81	225	169
ENSMUSG00000001844	Zdhhc4	54	31	22	38	37	35	37	42
ENSMUSG00000001847	Rac1	182	268	179	227	337	233	550	300
ENSMUSG00000001855	Nup214	28	10	19	16	7	19	17	19
ENSMUSG00000001864	Aif1l	39	38	0.8	28	27	7	15	41
ENSMUSG00000001870	Ltbp1	35	2		6		2	0.8	8
ENSMUSG00000001891	Ugp2	220	73	16	113	37	73	75	112
ENSMUSG00000001901	Kcnh6	3			2		4		
ENSMUSG00000001909	Trmt1	55	28	26	41	17	57	34	36
ENSMUSG00000001910	Nacc1	81	61	79	80	66	76	95	123
ENSMUSG00000001911	Nfix	107	5	16	151	18	246	34	90
ENSMUSG00000001918	Slc1a5	12	13	10	9	6	5	4	12
ENSMUSG00000001924	Uba1	212	288	261	371	280	533	463	471
ENSMUSG00000001930	Vwf	0.7	94	0.7	7	0.6	0.6	10	3
ENSMUSG00000001942	Siae	8	3	4	7	2	5	4	11
ENSMUSG00000001943	Vsig2	1	27	2	44	1	4	0.6	2
ENSMUSG00000001946	Esam	12	1435	6	113	1	8	0.8	4
ENSMUSG00000001948	Spa17	4	5		8	3	6	3	11
ENSMUSG00000001962	Fam50a	90	42	64	48	27	44	53	71
ENSMUSG00000001964	Emd	278	84	94	81	33	148	48	81
ENSMUSG00000001983	Taco1	32	9	9	21	17	15	18	23
ENSMUSG00000001985	Grik3			0.6	53	8	43	96	78
ENSMUSG00000001986	Gria3	6			41	1	15	36	148
ENSMUSG00000001988	Npas1	3	0.8	2	53	3	84	34	79
ENSMUSG00000001995	Sipa1l2	36	109	104	37	11	24	90	67
ENSMUSG00000001998	Ap4e1	19	5	0.8	8	2	10	7	8
ENSMUSG00000001999	Blvra	12	31	46	20	15	23	24	49
ENSMUSG00000002006	Pdzd4	9	1	8	115	18	134	23	57
ENSMUSG00000002007	Srpk3	0.8	0.8	16	11	28	4	136	19
ENSMUSG00000002010	Idh3g	157	144	156	125	48	158	68	191
ENSMUSG00000002012	Pnck	7	3	11	113	7	255	30	81
ENSMUSG00000002014	Ssr4	72	112	109	63	58	66	76	72
ENSMUSG00000002015	Bcap31	233	490	348	195	415	198	331	286
ENSMUSG00000002017	Fam98a	98	20	22	109	75	88	109	104
ENSMUSG00000002020	Ltbp2						1	0.5	0.9
ENSMUSG00000002028	Kmt2a	72	10	5	35	3	84	15	31
ENSMUSG00000002031	Ift46	31	20	16	31	64	55	78	38
ENSMUSG00000002032	Tmem25	20		3	20	16	30	22	15
ENSMUSG00000002033	Cd3g		0.6	0.7					
ENSMUSG00000002043	Trappc6a	11	38	29	14	35	12	20	11
ENSMUSG00000002052	Supt6	166	48	40	87	52	93	121	116
